Diagnóstico principal (CIE9MC);Urgencia del ingreso y sexo;Total
Resto (020-041) Otras enfermedades bacterianas zoonosicas y otras enfermedades bacterianas;Casos ordinarios:Mujeres;22,98
Resto (020-041) Otras enfermedades bacterianas zoonosicas y otras enfermedades bacterianas;Casos urgentes:Ambos sexos;8,43
Resto (020-041) Otras enfermedades bacterianas zoonosicas y otras enfermedades bacterianas;Casos urgentes:Hombres;8,94
Resto (020-041) Otras enfermedades bacterianas zoonosicas y otras enfermedades bacterianas;Casos urgentes:Mujeres;7,87
042-079 I.4 INFECCIONES POR VIRUS (INCLUIDO VIH);Total;6,80
042-079 I.4 INFECCIONES POR VIRUS (INCLUIDO VIH);Casos ordinarios:Ambos sexos;6,34
042-079 I.4 INFECCIONES POR VIRUS (INCLUIDO VIH);Casos ordinarios:Hombres;5,90
042-079 I.4 INFECCIONES POR VIRUS (INCLUIDO VIH);Casos ordinarios:Mujeres;7,31
042-079 I.4 INFECCIONES POR VIRUS (INCLUIDO VIH);Casos urgentes:Ambos sexos;6,88
042-079 I.4 INFECCIONES POR VIRUS (INCLUIDO VIH);Casos urgentes:Hombres;7,12
042-079 I.4 INFECCIONES POR VIRUS (INCLUIDO VIH);Casos urgentes:Mujeres;6,56
042 Enfermedad por virus de la inmunodeficiencia humana (VIH);Total;13,77
042 Enfermedad por virus de la inmunodeficiencia humana (VIH);Casos ordinarios:Ambos sexos;12,62
042 Enfermedad por virus de la inmunodeficiencia humana (VIH);Casos ordinarios:Hombres;12,53
042 Enfermedad por virus de la inmunodeficiencia humana (VIH);Casos ordinarios:Mujeres;12,99
042 Enfermedad por virus de la inmunodeficiencia humana (VIH);Casos urgentes:Ambos sexos;14,08
042 Enfermedad por virus de la inmunodeficiencia humana (VIH);Casos urgentes:Hombres;13,94
042 Enfermedad por virus de la inmunodeficiencia humana (VIH);Casos urgentes:Mujeres;14,47
070 Hepatitis viral;Total;6,98
070 Hepatitis viral;Casos ordinarios:Ambos sexos;3,72
070 Hepatitis viral;Casos ordinarios:Hombres;3,28
070 Hepatitis viral;Casos ordinarios:Mujeres;5,07
070 Hepatitis viral;Casos urgentes:Ambos sexos;8,70
070 Hepatitis viral;Casos urgentes:Hombres;8,56
070 Hepatitis viral;Casos urgentes:Mujeres;8,97
Resto (042-079) Otras enfermedades virales;Total;5,58
Resto (042-079) Otras enfermedades virales;Casos ordinarios:Ambos sexos;6,37
Resto (042-079) Otras enfermedades virales;Casos ordinarios:Hombres;5,58
Resto (042-079) Otras enfermedades virales;Casos ordinarios:Mujeres;7,49
Resto (042-079) Otras enfermedades virales;Casos urgentes:Ambos sexos;5,49
Resto (042-079) Otras enfermedades virales;Casos urgentes:Hombres;5,42
Resto (042-079) Otras enfermedades virales;Casos urgentes:Mujeres;5,58
080-139 I.5 OTRAS ENFERMEDADES INFECCIOSAS Y EFECTOS TARDÍOS DE ENF. INFECCIOSAS Y PARASITARIAS;Total;9,40
080-139 I.5 OTRAS ENFERMEDADES INFECCIOSAS Y EFECTOS TARDÍOS DE ENF. INFECCIOSAS Y PARASITARIAS;Casos ordinarios:Ambos sexos;9,62
080-139 I.5 OTRAS ENFERMEDADES INFECCIOSAS Y EFECTOS TARDÍOS DE ENF. INFECCIOSAS Y PARASITARIAS;Casos ordinarios:Hombres;9,40
080-139 I.5 OTRAS ENFERMEDADES INFECCIOSAS Y EFECTOS TARDÍOS DE ENF. INFECCIOSAS Y PARASITARIAS;Casos ordinarios:Mujeres;9,91
080-139 I.5 OTRAS ENFERMEDADES INFECCIOSAS Y EFECTOS TARDÍOS DE ENF. INFECCIOSAS Y PARASITARIAS;Casos urgentes:Ambos sexos;9,33
080-139 I.5 OTRAS ENFERMEDADES INFECCIOSAS Y EFECTOS TARDÍOS DE ENF. INFECCIOSAS Y PARASITARIAS;Casos urgentes:Hombres;9,40
080-139 I.5 OTRAS ENFERMEDADES INFECCIOSAS Y EFECTOS TARDÍOS DE ENF. INFECCIOSAS Y PARASITARIAS;Casos urgentes:Mujeres;9,22
140-239 II NEOPLASIAS;Total;7,91
140-239 II NEOPLASIAS;Casos ordinarios:Ambos sexos;6,35
140-239 II NEOPLASIAS;Casos ordinarios:Hombres;7,10
140-239 II NEOPLASIAS;Casos ordinarios:Mujeres;5,60
140-239 II NEOPLASIAS;Casos urgentes:Ambos sexos;11,27
140-239 II NEOPLASIAS;Casos urgentes:Hombres;11,33
140-239 II NEOPLASIAS;Casos urgentes:Mujeres;11,17
140-208 II.1 NEOPLASIAS MALIGNAS;Total;8,77
140-208 II.1 NEOPLASIAS MALIGNAS;Casos ordinarios:Ambos sexos;7,17
140-208 II.1 NEOPLASIAS MALIGNAS;Casos ordinarios:Hombres;7,62
140-208 II.1 NEOPLASIAS MALIGNAS;Casos ordinarios:Mujeres;6,59
140-208 II.1 NEOPLASIAS MALIGNAS;Casos urgentes:Ambos sexos;11,66
140-208 II.1 NEOPLASIAS MALIGNAS;Casos urgentes:Hombres;11,59
140-208 II.1 NEOPLASIAS MALIGNAS;Casos urgentes:Mujeres;11,77
150 Neoplasia maligna de esófago;Total;12,70
150 Neoplasia maligna de esófago;Casos ordinarios:Ambos sexos;13,29
150 Neoplasia maligna de esófago;Casos ordinarios:Hombres;13,24
150 Neoplasia maligna de esófago;Casos ordinarios:Mujeres;13,52
150 Neoplasia maligna de esófago;Casos urgentes:Ambos sexos;12,25
150 Neoplasia maligna de esófago;Casos urgentes:Hombres;12,08
150 Neoplasia maligna de esófago;Casos urgentes:Mujeres;13,18
151 Neoplasia maligna de estómago;Total;12,93
151 Neoplasia maligna de estómago;Casos ordinarios:Ambos sexos;12,92
151 Neoplasia maligna de estómago;Casos ordinarios:Hombres;12,99
151 Neoplasia maligna de estómago;Casos ordinarios:Mujeres;12,79
151 Neoplasia maligna de estómago;Casos urgentes:Ambos sexos;12,94
151 Neoplasia maligna de estómago;Casos urgentes:Hombres;12,86
151 Neoplasia maligna de estómago;Casos urgentes:Mujeres;13,06
153-154 Neoplasia maligna de colon y recto;Total;12,00
153-154 Neoplasia maligna de colon y recto;Casos ordinarios:Ambos sexos;11,58
153-154 Neoplasia maligna de colon y recto;Casos ordinarios:Hombres;11,95
153-154 Neoplasia maligna de colon y recto;Casos ordinarios:Mujeres;11,00
153-154 Neoplasia maligna de colon y recto;Casos urgentes:Ambos sexos;12,69
153-154 Neoplasia maligna de colon y recto;Casos urgentes:Hombres;12,52
153-154 Neoplasia maligna de colon y recto;Casos urgentes:Mujeres;12,93
161 Neoplasia maligna de laringe;Total;11,54
161 Neoplasia maligna de laringe;Casos ordinarios:Ambos sexos;10,55
161 Neoplasia maligna de laringe;Casos ordinarios:Hombres;10,59
161 Neoplasia maligna de laringe;Casos ordinarios:Mujeres;10,03
161 Neoplasia maligna de laringe;Casos urgentes:Ambos sexos;14,68
161 Neoplasia maligna de laringe;Casos urgentes:Hombres;14,70
161 Neoplasia maligna de laringe;Casos urgentes:Mujeres;14,48
162 Neoplasia maligna de tráquea, bronquios y pulmón;Total;9,55
162 Neoplasia maligna de tráquea, bronquios y pulmón;Casos ordinarios:Ambos sexos;8,38
162 Neoplasia maligna de tráquea, bronquios y pulmón;Casos ordinarios:Hombres;8,39
162 Neoplasia maligna de tráquea, bronquios y pulmón;Casos ordinarios:Mujeres;8,33
162 Neoplasia maligna de tráquea, bronquios y pulmón;Casos urgentes:Ambos sexos;10,38
162 Neoplasia maligna de tráquea, bronquios y pulmón;Casos urgentes:Hombres;10,38
162 Neoplasia maligna de tráquea, bronquios y pulmón;Casos urgentes:Mujeres;10,38
172-173 Neoplasia maligna de piel;Total;4,16
172-173 Neoplasia maligna de piel;Casos ordinarios:Ambos sexos;3,80
172-173 Neoplasia maligna de piel;Casos ordinarios:Hombres;3,91
172-173 Neoplasia maligna de piel;Casos ordinarios:Mujeres;3,64
172-173 Neoplasia maligna de piel;Casos urgentes:Ambos sexos;6,60
172-173 Neoplasia maligna de piel;Casos urgentes:Hombres;6,69
172-173 Neoplasia maligna de piel;Casos urgentes:Mujeres;6,45
174-175 Neoplasia maligna de mama;Total;3,79
174-175 Neoplasia maligna de mama;Casos ordinarios:Ambos sexos;3,43
174-175 Neoplasia maligna de mama;Casos ordinarios:Hombres;3,72
174-175 Neoplasia maligna de mama;Casos ordinarios:Mujeres;3,43
174-175 Neoplasia maligna de mama;Casos urgentes:Ambos sexos;7,11
174-175 Neoplasia maligna de mama;Casos urgentes:Hombres;10,21
174-175 Neoplasia maligna de mama;Casos urgentes:Mujeres;7,07
179-180,182 Neoplasia maligna de útero;Total;6,36
179-180,182 Neoplasia maligna de útero;Casos ordinarios:Ambos sexos;5,61
179-180,182 Neoplasia maligna de útero;Casos ordinarios:Hombres;..
179-180,182 Neoplasia maligna de útero;Casos ordinarios:Mujeres;5,61
179-180,182 Neoplasia maligna de útero;Casos urgentes:Ambos sexos;9,68
179-180,182 Neoplasia maligna de útero;Casos urgentes:Hombres;..
179-180,182 Neoplasia maligna de útero;Casos urgentes:Mujeres;9,68
185 Neoplasia maligna de próstata;Total;5,64
185 Neoplasia maligna de próstata;Casos ordinarios:Ambos sexos;4,94
185 Neoplasia maligna de próstata;Casos ordinarios:Hombres;4,94
185 Neoplasia maligna de próstata;Casos ordinarios:Mujeres;..
185 Neoplasia maligna de próstata;Casos urgentes:Ambos sexos;8,88
185 Neoplasia maligna de próstata;Casos urgentes:Hombres;8,88
185 Neoplasia maligna de próstata;Casos urgentes:Mujeres;..
188 Neoplasia maligna de vejiga;Total;4,54
188 Neoplasia maligna de vejiga;Casos ordinarios:Ambos sexos;3,93
188 Neoplasia maligna de vejiga;Casos ordinarios:Hombres;4,00
188 Neoplasia maligna de vejiga;Casos ordinarios:Mujeres;3,56
188 Neoplasia maligna de vejiga;Casos urgentes:Ambos sexos;8,19
188 Neoplasia maligna de vejiga;Casos urgentes:Hombres;8,20
188 Neoplasia maligna de vejiga;Casos urgentes:Mujeres;8,12
200-202 Neoplasias malignas de tejidos linfáticos;Total;12,35
200-202 Neoplasias malignas de tejidos linfáticos;Casos ordinarios:Ambos sexos;9,84
200-202 Neoplasias malignas de tejidos linfáticos;Casos ordinarios:Hombres;10,08
200-202 Neoplasias malignas de tejidos linfáticos;Casos ordinarios:Mujeres;9,53
200-202 Neoplasias malignas de tejidos linfáticos;Casos urgentes:Ambos sexos;15,00
200-202 Neoplasias malignas de tejidos linfáticos;Casos urgentes:Hombres;15,01
200-202 Neoplasias malignas de tejidos linfáticos;Casos urgentes:Mujeres;15,00
203-208 Neoplasias malignas de tejidos hematopoyéticos;Total;17,53
203-208 Neoplasias malignas de tejidos hematopoyéticos;Casos ordinarios:Ambos sexos;18,40
203-208 Neoplasias malignas de tejidos hematopoyéticos;Casos ordinarios:Hombres;18,45
203-208 Neoplasias malignas de tejidos hematopoyéticos;Casos ordinarios:Mujeres;18,33
203-208 Neoplasias malignas de tejidos hematopoyéticos;Casos urgentes:Ambos sexos;16,92
203-208 Neoplasias malignas de tejidos hematopoyéticos;Casos urgentes:Hombres;16,54
203-208 Neoplasias malignas de tejidos hematopoyéticos;Casos urgentes:Mujeres;17,40
Resto (140-208) Otras neoplasias malignas;Total;9,31
Resto (140-208) Otras neoplasias malignas;Casos ordinarios:Ambos sexos;7,60
Resto (140-208) Otras neoplasias malignas;Casos ordinarios:Hombres;7,74
Resto (140-208) Otras neoplasias malignas;Casos ordinarios:Mujeres;7,43
Resto (140-208) Otras neoplasias malignas;Casos urgentes:Ambos sexos;11,54
Resto (140-208) Otras neoplasias malignas;Casos urgentes:Hombres;11,56
Resto (140-208) Otras neoplasias malignas;Casos urgentes:Mujeres;11,52
209 II.2 TUMORES NEUROENDOCRINOS;Total;10,22
209 II.2 TUMORES NEUROENDOCRINOS;Casos ordinarios:Ambos sexos;8,96
209 II.2 TUMORES NEUROENDOCRINOS;Casos ordinarios:Hombres;9,57
209 II.2 TUMORES NEUROENDOCRINOS;Casos ordinarios:Mujeres;8,31
209 II.2 TUMORES NEUROENDOCRINOS;Casos urgentes:Ambos sexos;12,00
209 II.2 TUMORES NEUROENDOCRINOS;Casos urgentes:Hombres;11,79
209 II.2 TUMORES NEUROENDOCRINOS;Casos urgentes:Mujeres;12,32
210-229 II.3 NEOPLASIAS BENIGNAS;Total;4,19
210-229 II.3 NEOPLASIAS BENIGNAS;Casos ordinarios:Ambos sexos;3,74
210-229 II.3 NEOPLASIAS BENIGNAS;Casos ordinarios:Hombres;4,15
210-229 II.3 NEOPLASIAS BENIGNAS;Casos ordinarios:Mujeres;3,61
210-229 II.3 NEOPLASIAS BENIGNAS;Casos urgentes:Ambos sexos;7,34
210-229 II.3 NEOPLASIAS BENIGNAS;Casos urgentes:Hombres;8,19
210-229 II.3 NEOPLASIAS BENIGNAS;Casos urgentes:Mujeres;6,87
218 Leiomioma uterino;Total;3,57
218 Leiomioma uterino;Casos ordinarios:Ambos sexos;3,58
218 Leiomioma uterino;Casos ordinarios:Hombres;..
218 Leiomioma uterino;Casos ordinarios:Mujeres;3,58
218 Leiomioma uterino;Casos urgentes:Ambos sexos;3,39
218 Leiomioma uterino;Casos urgentes:Hombres;..
218 Leiomioma uterino;Casos urgentes:Mujeres;3,39
219 Otras neoplasias benignas de útero;Total;3,28
219 Otras neoplasias benignas de útero;Casos ordinarios:Ambos sexos;3,26
219 Otras neoplasias benignas de útero;Casos ordinarios:Hombres;..
219 Otras neoplasias benignas de útero;Casos ordinarios:Mujeres;3,26
219 Otras neoplasias benignas de útero;Casos urgentes:Ambos sexos;3,45
219 Otras neoplasias benignas de útero;Casos urgentes:Hombres;..
219 Otras neoplasias benignas de útero;Casos urgentes:Mujeres;3,45
Resto (210-229) Otras neoplasias benignas;Total;4,49
Resto (210-229) Otras neoplasias benignas;Casos ordinarios:Ambos sexos;3,83
Resto (210-229) Otras neoplasias benignas;Casos ordinarios:Hombres;4,15
Resto (210-229) Otras neoplasias benignas;Casos ordinarios:Mujeres;3,64
Resto (210-229) Otras neoplasias benignas;Casos urgentes:Ambos sexos;8,26
Resto (210-229) Otras neoplasias benignas;Casos urgentes:Hombres;8,19
Resto (210-229) Otras neoplasias benignas;Casos urgentes:Mujeres;8,32
230-234 II.4 CARCINOMA IN SITU;Total;4,14
230-234 II.4 CARCINOMA IN SITU;Casos ordinarios:Ambos sexos;3,86
230-234 II.4 CARCINOMA IN SITU;Casos ordinarios:Hombres;4,84
230-234 II.4 CARCINOMA IN SITU;Casos ordinarios:Mujeres;3,28
230-234 II.4 CARCINOMA IN SITU;Casos urgentes:Ambos sexos;6,52
230-234 II.4 CARCINOMA IN SITU;Casos urgentes:Hombres;7,53
230-234 II.4 CARCINOMA IN SITU;Casos urgentes:Mujeres;5,34
235-239 II.5 NEOPLASIAS DE EVOLUCIÓN INCIERTA Y NO ESPECIFICADAS;Total;5,92
235-239 II.5 NEOPLASIAS DE EVOLUCIÓN INCIERTA Y NO ESPECIFICADAS;Casos ordinarios:Ambos sexos;4,54
235-239 II.5 NEOPLASIAS DE EVOLUCIÓN INCIERTA Y NO ESPECIFICADAS;Casos ordinarios:Hombres;4,51
235-239 II.5 NEOPLASIAS DE EVOLUCIÓN INCIERTA Y NO ESPECIFICADAS;Casos ordinarios:Mujeres;4,57
235-239 II.5 NEOPLASIAS DE EVOLUCIÓN INCIERTA Y NO ESPECIFICADAS;Casos urgentes:Ambos sexos;8,92
235-239 II.5 NEOPLASIAS DE EVOLUCIÓN INCIERTA Y NO ESPECIFICADAS;Casos urgentes:Hombres;8,79
235-239 II.5 NEOPLASIAS DE EVOLUCIÓN INCIERTA Y NO ESPECIFICADAS;Casos urgentes:Mujeres;9,11
240-279 III ENFERMEDADES ENDOCRINAS, DE LA NUTRICIÓN Y METABÓLICAS Y TRASTORNOS DE LA INMUNIDAD;Total;6,23
240-279 III ENFERMEDADES ENDOCRINAS, DE LA NUTRICIÓN Y METABÓLICAS Y TRASTORNOS DE LA INMUNIDAD;Casos ordinarios:Ambos sexos;4,48
240-279 III ENFERMEDADES ENDOCRINAS, DE LA NUTRICIÓN Y METABÓLICAS Y TRASTORNOS DE LA INMUNIDAD;Casos ordinarios:Hombres;5,77
240-279 III ENFERMEDADES ENDOCRINAS, DE LA NUTRICIÓN Y METABÓLICAS Y TRASTORNOS DE LA INMUNIDAD;Casos ordinarios:Mujeres;3,92
240-279 III ENFERMEDADES ENDOCRINAS, DE LA NUTRICIÓN Y METABÓLICAS Y TRASTORNOS DE LA INMUNIDAD;Casos urgentes:Ambos sexos;7,62
240-279 III ENFERMEDADES ENDOCRINAS, DE LA NUTRICIÓN Y METABÓLICAS Y TRASTORNOS DE LA INMUNIDAD;Casos urgentes:Hombres;8,10
240-279 III ENFERMEDADES ENDOCRINAS, DE LA NUTRICIÓN Y METABÓLICAS Y TRASTORNOS DE LA INMUNIDAD;Casos urgentes:Mujeres;7,17
240-246 III.1 TRASTORNOS DE LA GLÁNDULA TIROIDES;Total;2,87
240-246 III.1 TRASTORNOS DE LA GLÁNDULA TIROIDES;Casos ordinarios:Ambos sexos;2,60
240-246 III.1 TRASTORNOS DE LA GLÁNDULA TIROIDES;Casos ordinarios:Hombres;2,61
240-246 III.1 TRASTORNOS DE LA GLÁNDULA TIROIDES;Casos ordinarios:Mujeres;2,59
240-246 III.1 TRASTORNOS DE LA GLÁNDULA TIROIDES;Casos urgentes:Ambos sexos;5,91
240-246 III.1 TRASTORNOS DE LA GLÁNDULA TIROIDES;Casos urgentes:Hombres;6,73
240-246 III.1 TRASTORNOS DE LA GLÁNDULA TIROIDES;Casos urgentes:Mujeres;5,56
249-259 III.2 ENFERMEDADES DE OTRAS GLÁNDULAS ENDOCRINAS;Total;7,88
249-259 III.2 ENFERMEDADES DE OTRAS GLÁNDULAS ENDOCRINAS;Casos ordinarios:Ambos sexos;7,57
249-259 III.2 ENFERMEDADES DE OTRAS GLÁNDULAS ENDOCRINAS;Casos ordinarios:Hombres;8,34
249-259 III.2 ENFERMEDADES DE OTRAS GLÁNDULAS ENDOCRINAS;Casos ordinarios:Mujeres;6,75
249-259 III.2 ENFERMEDADES DE OTRAS GLÁNDULAS ENDOCRINAS;Casos urgentes:Ambos sexos;7,96
249-259 III.2 ENFERMEDADES DE OTRAS GLÁNDULAS ENDOCRINAS;Casos urgentes:Hombres;8,56
249-259 III.2 ENFERMEDADES DE OTRAS GLÁNDULAS ENDOCRINAS;Casos urgentes:Mujeres;7,23
249-250 Diabetes mellitus;Total;8,40
249-250 Diabetes mellitus;Casos ordinarios:Ambos sexos;9,90
249-250 Diabetes mellitus;Casos ordinarios:Hombres;9,63
249-250 Diabetes mellitus;Casos ordinarios:Mujeres;10,37
249-250 Diabetes mellitus;Casos urgentes:Ambos sexos;8,11
249-250 Diabetes mellitus;Casos urgentes:Hombres;8,67
249-250 Diabetes mellitus;Casos urgentes:Mujeres;7,36
Resto (249-259) Otras enfermedades de las glándulas endocrinas;Total;5,43
Resto (249-259) Otras enfermedades de las glándulas endocrinas;Casos ordinarios:Ambos sexos;3,82
Resto (249-259) Otras enfermedades de las glándulas endocrinas;Casos ordinarios:Hombres;4,23
Resto (249-259) Otras enfermedades de las glándulas endocrinas;Casos ordinarios:Mujeres;3,63
Resto (249-259) Otras enfermedades de las glándulas endocrinas;Casos urgentes:Ambos sexos;6,85
Resto (249-259) Otras enfermedades de las glándulas endocrinas;Casos urgentes:Hombres;7,35
Resto (249-259) Otras enfermedades de las glándulas endocrinas;Casos urgentes:Mujeres;6,57
260-269 III.3 DEFICIENCIAS NUTRITIVAS;Total;13,37
260-269 III.3 DEFICIENCIAS NUTRITIVAS;Casos ordinarios:Ambos sexos;14,39
260-269 III.3 DEFICIENCIAS NUTRITIVAS;Casos ordinarios:Hombres;14,29
260-269 III.3 DEFICIENCIAS NUTRITIVAS;Casos ordinarios:Mujeres;14,49
260-269 III.3 DEFICIENCIAS NUTRITIVAS;Casos urgentes:Ambos sexos;13,01
260-269 III.3 DEFICIENCIAS NUTRITIVAS;Casos urgentes:Hombres;12,44
260-269 III.3 DEFICIENCIAS NUTRITIVAS;Casos urgentes:Mujeres;13,76
270-279 III.4 OTROS TRASTORNOS METABÓLICOS Y DE INMUNIDAD;Total;6,03
270-279 III.4 OTROS TRASTORNOS METABÓLICOS Y DE INMUNIDAD;Casos ordinarios:Ambos sexos;4,74
